order_id,order_date,region,channel,customer_id,product_id,units,revenue,status
ORD-100001,2024-09-01,EMEA,Web,CUST-2575,SKU-1002,2,347.32,fulfilled
ORD-100002,2024-03-11,AMER,Wholesale,CUST-2982,SKU-1017,5,531.72,fulfilled
ORD-100003,2025-02-04,AMER,Retail,CUST-2702,SKU-1005,1,25.6,fulfilled
ORD-100004,2024-12-02,EMEA,Retail,CUST-2749,SKU-1004,5,618.76,fulfilled
ORD-100005,2025-12-15,LATAM,Retail,CUST-3463,SKU-1021,1,19.47,fulfilled
ORD-100006,2025-06-25,LATAM,Web,CUST-1519,SKU-1015,1,89.58,fulfilled
ORD-100007,2025-03-04,LATAM,Wholesale,CUST-2003,SKU-1002,2,429.85,refunded
ORD-100008,2024-08-03,AMER,Web,CUST-4211,SKU-1018,3,123.88,fulfilled
ORD-100009,2025-04-09,APAC,Web,CUST-1033,SKU-1014,4,403.46,cancelled
ORD-100010,2025-08-22,LATAM,Retail,CUST-3883,SKU-1019,1,14.66,fulfilled
ORD-100011,2024-12-31,AMER,Web,CUST-1037,SKU-1017,1,96.35,fulfilled
ORD-100012,2024-05-19,AMER,Wholesale,CUST-1503,SKU-1017,5,523.92,fulfilled
ORD-100013,2024-08-18,APAC,Retail,CUST-3385,SKU-1014,1,74.47,fulfilled
ORD-100014,2024-12-02,APAC,Web,CUST-4790,SKU-1013,3,235.66,refunded
ORD-100015,2024-05-09,AMER,Wholesale,CUST-3043,SKU-1015,4,350.23,fulfilled
ORD-100016,2025-01-30,LATAM,Web,CUST-3750,SKU-1005,1,25.82,fulfilled
ORD-100017,2024-12-17,AMER,Wholesale,CUST-3873,SKU-1016,4,169.33,cancelled
ORD-100018,2025-06-26,EMEA,Web,CUST-4633,SKU-1006,2,199.92,fulfilled
ORD-100019,2024-06-19,AMER,Wholesale,CUST-1767,SKU-1006,2,246.67,refunded
ORD-100020,2024-07-22,APAC,Retail,CUST-2748,SKU-1002,3,543.74,fulfilled
ORD-100021,2024-12-15,LATAM,Wholesale,CUST-3285,SKU-1018,5,235.83,fulfilled
ORD-100022,2025-08-21,AMER,Retail,CUST-4794,SKU-1011,5,115.61,cancelled
ORD-100023,2025-01-31,EMEA,Wholesale,CUST-2776,SKU-1002,5,1098.27,fulfilled
ORD-100024,2024-12-26,EMEA,Retail,CUST-4039,SKU-1001,2,286.12,cancelled
ORD-100025,2024-12-10,LATAM,Wholesale,CUST-1640,SKU-1015,2,150.1,fulfilled
ORD-100026,2025-02-24,APAC,Retail,CUST-1258,SKU-1008,3,288.36,refunded
ORD-100027,2025-03-17,AMER,Wholesale,CUST-1778,SKU-1001,5,868.3,fulfilled
ORD-100028,2024-12-14,LATAM,Retail,CUST-3579,SKU-1001,2,315.47,cancelled
ORD-100029,2025-08-16,APAC,Retail,CUST-1881,SKU-1009,1,100.6,fulfilled
ORD-100030,2024-08-24,APAC,Web,CUST-1722,SKU-1003,4,886.34,cancelled
ORD-100031,2024-11-24,AMER,Wholesale,CUST-3812,SKU-1001,4,527.55,refunded
ORD-100032,2024-01-12,EMEA,Wholesale,CUST-4909,SKU-1004,1,155.48,refunded
ORD-100033,2025-12-08,EMEA,Web,CUST-2582,SKU-1018,1,40.79,fulfilled
ORD-100034,2025-07-18,LATAM,Retail,CUST-2580,SKU-1011,1,25.47,fulfilled
ORD-100035,2025-10-02,LATAM,Web,CUST-1256,SKU-1008,3,204.92,refunded
ORD-100036,2025-01-12,AMER,Retail,CUST-3066,SKU-1011,5,123.28,fulfilled
ORD-100037,2025-04-15,EMEA,Web,CUST-4188,SKU-1004,4,669.03,cancelled
ORD-100038,2024-11-18,EMEA,Retail,CUST-3158,SKU-1007,1,21.34,fulfilled
ORD-100039,2024-03-22,EMEA,Web,CUST-3942,SKU-1005,1,33.61,refunded
ORD-100040,2024-09-21,EMEA,Web,CUST-3121,SKU-1001,3,417.7,fulfilled
ORD-100041,2025-05-28,EMEA,Web,CUST-1309,SKU-1001,3,571.35,fulfilled
ORD-100042,2024-05-12,EMEA,Wholesale,CUST-2796,SKU-1001,3,517.18,fulfilled
ORD-100043,2025-06-12,AMER,Retail,CUST-2150,SKU-1002,3,766.53,fulfilled
ORD-100044,2025-02-24,EMEA,Retail,CUST-4032,SKU-1004,4,751.37,fulfilled
ORD-100045,2025-01-08,EMEA,Web,CUST-3943,SKU-1014,1,76.54,fulfilled
ORD-100046,2024-05-12,EMEA,Web,CUST-4498,SKU-1015,5,397.54,cancelled
ORD-100047,2025-04-22,LATAM,Wholesale,CUST-4485,SKU-1016,1,55.93,cancelled
ORD-100048,2024-12-28,EMEA,Retail,CUST-2207,SKU-1020,5,356.4,cancelled
ORD-100049,2025-05-25,LATAM,Web,CUST-4457,SKU-1011,5,127.8,cancelled
ORD-100050,2025-08-02,APAC,Retail,CUST-3660,SKU-1015,4,296.9,fulfilled
ORD-100051,2025-06-19,APAC,Retail,CUST-2208,SKU-1020,3,252.65,fulfilled
ORD-100052,2024-07-16,APAC,Web,CUST-2990,SKU-1008,3,300.2,refunded
