order_date,region,category,channel,units,revenue
2024-09-04,EMEA,Grocery,Wholesale,6,679.43
2024-07-03,EMEA,Electronics,Wholesale,2,240.86
2025-08-26,AMER,Electronics,Wholesale,2,237.08
2024-07-30,EMEA,Grocery,Retail,7,884.74
2025-06-16,AMER,Electronics,Retail,2,297.07
2025-07-08,LATAM,Outdoor,Wholesale,6,358.98
2025-01-09,LATAM,Home,Retail,6,368.93
2024-08-06,EMEA,Apparel,Retail,7,813.80
2024-03-03,LATAM,Outdoor,Wholesale,1,86.57
2024-04-28,LATAM,Apparel,Retail,2,187.08
2024-05-09,EMEA,Home,Retail,2,263.66
2024-03-13,EMEA,Grocery,Web,3,469.01
2025-09-08,AMER,Electronics,Web,4,456.22
2024-01-09,EMEA,Beauty,Retail,3,340.85
2024-01-17,AMER,Beauty,Retail,6,654.92
2024-05-03,LATAM,Apparel,Wholesale,7,746.81
2025-02-28,APAC,Outdoor,Wholesale,2,234.43
2024-02-14,APAC,Beauty,Retail,3,255.81
2025-10-09,EMEA,Grocery,Web,3,234.95
2025-05-09,AMER,Beauty,Web,3,538.63
2024-04-27,LATAM,Outdoor,Retail,4,372.98
2025-07-10,LATAM,Grocery,Wholesale,2,111.62
2025-12-25,LATAM,Beauty,Wholesale,1,74.98
2024-03-18,APAC,Apparel,Wholesale,4,503.48
2024-07-16,EMEA,Electronics,Wholesale,4,399.13
2025-08-19,AMER,Home,Web,7,683.60
2025-05-07,APAC,Beauty,Retail,1,119.02
2024-10-04,AMER,Beauty,Retail,5,566.24
2024-01-21,LATAM,Electronics,Wholesale,5,310.30
2025-07-19,AMER,Apparel,Retail,6,796.27
2025-12-17,EMEA,Apparel,Wholesale,2,216.94
2024-07-12,AMER,Beauty,Wholesale,3,441.42
2025-06-09,APAC,Apparel,Retail,7,820.95
2024-07-05,EMEA,Beauty,Web,2,284.20
2024-08-03,AMER,Outdoor,Web,3,429.29
2025-06-26,AMER,Electronics,Web,5,563.46
2024-10-09,AMER,Grocery,Wholesale,4,428.24
2025-09-14,APAC,Beauty,Wholesale,6,503.57
2024-09-07,APAC,Electronics,Wholesale,6,594.66
