created_at,queue,priority,first_response_minutes,resolved,satisfaction
2025-03-13,Account,urgent,10,true,5
2024-04-05,Billing,urgent,4,true,5
2025-08-02,Onboarding,high,19,true,5
2025-07-26,Technical,low,28,true,5
2024-11-23,Technical,normal,31,true,5
2025-11-27,Billing,urgent,17,true,5
2025-05-21,Account,normal,65,true,4
2024-01-09,Billing,normal,77,false,
2024-06-07,Technical,normal,61,true,5
2025-01-08,Technical,low,60,true,4
2024-03-10,Account,low,27,true,5
2025-05-01,Billing,normal,49,true,5
2024-05-26,Onboarding,low,24,true,5
2024-08-09,Billing,urgent,11,true,5
2024-03-17,Onboarding,high,9,true,5
2024-03-15,Onboarding,urgent,5,true,5
2025-12-25,Billing,normal,112,false,
2025-02-08,Technical,high,10,true,5
2025-02-02,Onboarding,normal,37,true,5
2025-11-11,Onboarding,normal,117,false,
2025-10-22,Billing,low,26,true,5
2025-11-09,Account,normal,102,true,4
2025-09-06,Technical,normal,63,true,4
2024-03-01,Billing,low,22,true,5
2025-12-25,Technical,high,11,true,5
2025-09-26,Technical,normal,76,true,4
2025-07-26,Account,urgent,12,true,5
2025-03-07,Billing,high,4,true,5
2025-08-04,Onboarding,normal,29,true,5
2024-03-27,Technical,normal,89,true,4
2025-08-05,Account,low,94,true,4
2024-07-20,Account,low,71,false,
2025-07-03,Onboarding,low,106,true,4
2025-07-14,Technical,high,14,true,5
2024-10-18,Billing,high,19,true,5
2025-11-30,Billing,urgent,18,true,5
2024-06-18,Onboarding,low,45,true,5
2025-02-21,Billing,urgent,10,true,5
2025-12-17,Account,urgent,16,true,5
2025-04-26,Technical,urgent,6,true,5
2024-08-16,Onboarding,high,11,true,5
2024-05-01,Onboarding,normal,22,false,
2025-04-10,Technical,urgent,19,true,5
2024-08-05,Account,urgent,3,false,
2024-09-29,Technical,urgent,6,true,5
2025-02-24,Billing,normal,27,true,5
2025-04-19,Technical,normal,112,false,
2025-05-25,Technical,low,14,true,5
2025-12-06,Account,high,8,true,5
2024-10-01,Onboarding,low,112,true,3
2024-09-13,Account,high,15,true,5
2025-01-08,Account,low,109,false,
2024-07-26,Technical,low,23,true,5
2024-03-07,Technical,high,19,false,
